Ilan_Tarihi,Marka,Arac_Tip_Grubu,Arac_Tip,Model_Yil,Yakit_Turu,Vites,CCM,Beygir_Gucu,Renk,Kasa_Tipi,Kimden,Durum,Km,Fiyat,Arac_Yasi,Km_Yil
01/06/2020,Audi,A3,A3 Sedan 1.6 TDI Design Line,2018,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Siyah ,Sedan,Galeriden,2. El,35000,236000,2,17500.0
01/06/2020,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,141000,222000,5,28200.0
01/06/2020,Audi,A4,A4 Sedan 2.0 TDI Quattro,2015,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,141000,222000,5,28200.0
01/06/2020,Audi,A4,2.0 TDI,2014,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,113000,225000,6,18833.333333333332
01/06/2020,Audi,A6,A6 Sedan 2.0 TDI,2017,Dizel,Otomatik Vites,1300 cc ve altı,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,80000,450000,3,26666.666666666668
30/05/2020,Audi,A4,2.0 TDI,2014,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Sedan,Galeriden,2. El,210000,200000,6,35000.0
30/05/2020,Audi,A4,1.6,1996,Benzin/LPG,Otomatik Vites,1301-1600 cc,76-100 BG,Lacivert ,Sedan,Galeriden,2. El,100,33500,24,4.166666666666667
30/05/2020,Audi,A6,A6 Sedan 2.0 TDI,2011,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Beyaz ,Sedan,Galeriden,2. El,226000,185000,9,25111.11111111111
13/06/2020,Volkswagen,Polo,1.4 TDI Comfortline,2017,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,142000,123500,3,47333.333333333336
30/05/2020,Audi,A6,2.0 TDI,2007,Dizel,Düz Vites,1801-2000 cc,126-150 BG,Mavi ,Sedan,Galeriden,2. El,198000,120000,13,15230.76923076923
30/05/2020,Audi,A4,2.0 TDI,2012,Dizel,Otomatik Vites,1801-2000 cc,126-150 BG,Siyah ,Sedan,Sahibinden,2. El,168000,165000,8,21000.0
29/05/2020,Audi,A6,"2.0 Quattro
",2016,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,70000,475000,4,17500.0
29/05/2020,Audi,A3,"1.6 TDI Sportback
",2019,Dizel,Yarı Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,19000,249950,1,19000.0
29/05/2020,Audi,A3,A3 Cabrio 1.5 TFSI Sport Line,2018,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Spor / Coupe,Galeriden,2. El,21000,335000,2,10500.0
28/05/2020,Audi,A3,Diğer,2017,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,25000,225000,3,8333.333333333334
28/05/2020,Audi,A4,1.4 TFSI,2016,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Bej ,Sedan,Galeriden,2. El,37700,297900,4,9425.0
28/05/2020,Audi,A6,2.0 TDI,2013,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,164000,269900,7,23428.571428571428
28/05/2020,Audi,A3,A3 Sportback 1.6 TDI Attraction,2014,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Beyaz ,Hatchback 5 Kapı,Galeriden,2. El,79000,162000,6,13166.666666666666
28/05/2020,Audi,Q5,2.0 TDI Quattro,2011,Dizel,Otomatik Vites,1801-2000 cc,151-175 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,117000,255000,9,13000.0
27/05/2020,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2017,Dizel,Otomatik Vites,1301-1600 cc,151-175 BG,Lacivert ,Sedan,Galeriden,2. El,52500,208500,3,17500.0
27/05/2020,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,29000,445000,3,9666.666666666666
26/05/2020,Audi,A5,A5 Sportback 1.4 TFSI Sport,2017,Benzin,Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,51750,399999,3,17250.0
25/05/2020,Audi,A5,2.0 TDI Quattro,2012,Dizel,Otomatik Vites,1801-2000 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,200000,222000,8,25000.0
23/05/2020,Audi,A6,1.9 TDI,2004,Dizel,Yarı Otomatik Vites,1801-2000 cc,126-150 BG,Gümüş Gri ,Sedan,Galeriden,2. El,311000,65000,16,19437.5
23/05/2020,Audi,A4,1.6,2001,Benzin/LPG,Düz Vites,1301-1600 cc,101-125 BG,Beyaz ,Sedan,Galeriden,2. El,300000,42500,19,15789.473684210527
21/05/2020,Audi,A4,2.0 TDI,2016,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,121280,267500,4,30320.0
17/05/2020,Audi,Q2,1.0 TFSI Design,2019,Benzin,Otomatik Vites,1300 cc ve altı,101-125 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,4500,265000,1,4500.0
17/05/2020,Audi,A4,2.0 TDI,2012,Dizel,Yarı Otomatik Vites,1801-2000 cc,176-200 BG,Siyah ,Sedan,Galeriden,2. El,202000,182500,8,25250.0
21/05/2020,Land Rover,Discovery Sport,2.0 TD4 HSE,2016,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Arazi Aracı,Galeriden,2. El,200550,444500,4,50137.5
17/05/2020,Audi,A4,A4 Sedan 2.0 TDI,2008,Dizel,Yarı Otomatik Vites,1801-2000 cc,Bilmiyorum,Gri ,Sedan,Galeriden,2. El,290000,86000,12,24166.666666666668
17/05/2020,Audi,Q7,2.0 TFSI Quattro,2016,Benzin,Otomatik Vites,1801-2000 cc,Bilmiyorum,Füme ,Arazi Aracı,Galeriden,2. El,32000,722000,4,8000.0
17/05/2020,Audi,A5,A5 Coupe 1.8 TFSI,2011,Benzin,Yarı Otomatik Vites,1601-1800 cc,Bilmiyorum,Beyaz ,Spor / Coupe,Galeriden,2. El,164000,136000,9,18222.222222222223
17/05/2020,Audi,Q8,Diğer,2020,Dizel,Otomatik Vites,3501-4000 cc,Bilmiyorum,Füme ,Arazi Aracı,Galeriden,0 km,0,2215000,0,0.0
17/05/2020,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,2017,Benzin,Yarı Otomatik Vites,1300 cc ve altı,Bilmiyorum,Mavi ,Hatchback 5 Kapı,Galeriden,2. El,39500,186000,3,13166.666666666666
17/05/2020,Audi,A3,A3 Sedan 1.6 TDI Dynamic,2016,Dizel,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,103169,164900,4,25792.25
17/05/2020,Audi,A3,A3 Sedan 1.5 TFSI Design Line,2019,Benzin,Yarı Otomatik Vites,1301-1600 cc,Bilmiyorum,Siyah ,Sedan,Galeriden,2. El,16,272500,1,16.0
17/05/2020,Audi,Q7,3.0 TDI Quattro,2008,Dizel,Otomatik Vites,2501-3000 cc,Bilmiyorum,Beyaz ,Arazi Aracı,Galeriden,2. El,237000,209500,12,19750.0
16/05/2020,Audi,A6,A6 Sedan 2.0 TFSI,2007,Benzin/LPG,Otomatik Vites,1801-2000 cc,176-200 BG,Füme ,Sedan,Sahibinden,2. El,255000,118000,13,19615.384615384617
15/05/2020,Audi,A3,"1.6 TDI Ambition Sportback
",2015,Dizel,Otomatik Vites,1301-1600 cc,101-125 BG,Kırmızı ,Hatchback 5 Kapı,Sahibinden,2. El,93000,193000,5,18600.0
15/05/2020,Audi,A3,1.6 FSI Sportback,2006,Benzin,Düz Vites,1301-1600 cc,101-125 BG,Siyah ,Hatchback 3 Kapı,Sahibinden,2. El,220000,68500,14,15714.285714285714
14/05/2020,Audi,A3,1.4 TFSI Attraction,2010,Benzin,Otomatik Vites,1301-1600 cc,101-125 BG,Beyaz ,Hatchback 5 Kapı,Sahibinden,2. El,68000,127000,10,6800.0
14/05/2020,Audi,100 Serisi,2.0,1993,Benzin/LPG,Otomatik Vites,1301-1600 cc,126-150 BG,Siyah ,Sedan,Galeriden,2. El,330000,36500,27,12222.222222222223
14/05/2020,Audi,A4,1.4 TFSI,2016,Benzin,Yarı Otomatik Vites,1301-1600 cc,126-150 BG,Beyaz ,Sedan,Galeriden,2. El,168000,242000,4,42000.0
13/05/2020,Audi,A4,A4 Sedan 2.0 TDI Dynamic,2017,Dizel,Otomatik Vites,1801-2000 cc,176-200 BG,Beyaz ,Sedan,Galeriden,2. El,55000,325000,3,18333.333333333332
